Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Ground Temperature [C](TimeStep),Environment:Site Surface Ground Temperature [C](TimeStep),EMS:BEE_var [J](TimeStep),DX COOLING COIL_UNIT1:Cooling Coil Electricity Energy [J](TimeStep),DX COOLING COIL_UNIT1:Cooling Coil Runtime Fraction [](TimeStep),MAIN DX HEATING COIL_UNIT1:Heating Coil Electricity Energy [J](TimeStep),MAIN DX HEATING COIL_UNIT1:Heating Coil Defrost Electricity Energy [J](TimeStep),MAIN DX HEATING COIL_UNIT1:Heating Coil Crankcase Heater Electricity Energy [J](TimeStep),MAIN DX HEATING COIL_UNIT1:Heating Coil Runtime Fraction [](TimeStep),HEAT PUMP WATER HEATER EVAPORATOR_UNIT1:Cooling Coil Runtime Fraction [](TimeStep),SUPPLY FAN_UNIT1:Fan Electricity Energy [J](TimeStep),SUPPLY FAN_UNIT1:Fan Air Mass Flow Rate [kg/s](TimeStep),OASUPPLYFAN_UNIT1:Fan Electricity Energy [J](TimeStep),OASUPPLYFAN_UNIT1:Fan Air Mass Flow Rate [kg/s](TimeStep),OAEXHAUSTFAN_UNIT1:Fan Electricity Energy [J](TimeStep),OAEXHAUSTFAN_UNIT1:Fan Air Mass Flow Rate [kg/s](TimeStep),HEAT PUMP WATER HEATER FAN_UNIT1:Fan Electricity Energy [J](TimeStep),HEAT PUMP WATER HEATER FAN_UNIT1:Fan Air Mass Flow Rate [kg/s](TimeStep),SUPPLY FAN_UNIT1:Fan Runtime Fraction [](TimeStep),OASUPPLYFAN_UNIT1:Fan Runtime Fraction [](TimeStep),OAEXHAUSTFAN_UNIT1:Fan Runtime Fraction [](TimeStep),HEAT PUMP WATER HEATER FAN_UNIT1:Fan Runtime Fraction [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Mean Air Dewpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Dewpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total Building Electricity Demand Rate [W](TimeStep),Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),OCCUPANCY:Schedule Value [](TimeStep),OA_HEAT_RECOVERY_UNIT1:Heat Exchanger Electricity Energy [J](TimeStep),SUPP HEATING COIL_UNIT1:Heating Coil Electricity Energy [J](TimeStep),Electricity:Building [J](TimeStep),Electricity:Zone:LIVING_UNIT1 [J](TimeStep),Electricity:HVAC [J](TimeStep) 
 08/01  11:00:00,33.9,23.9,13.0,7714347.653766458,8543210.571441092,0.8957761737228825,0.0,0.0,0.0,0.0,0.0,809677.1423435032,0.33183255835212679,38571.4285714286,0.03398513588362889,38571.4285714286,0.03398513588362889,0.0,0.0,0.8957761737228825,0.9999999999999998,0.9999999999999998,0.0,22.270249672367116,9.959443992308306,37.76199812570836,19.395455961850055,0.0,22.24792014060356,883.9390863112236,2627.752936368736,0.24189,0.0,0.0,3178856.656011372,3178856.656011372,9430030.570927453 
 08/01  12:00:00,35.6,23.9,13.0,9430030.570927453,8361682.838587734,0.8680109004871539,0.0,0.0,0.0,0.0,0.0,784580.5749761661,0.319879477894517,38571.428571428594,0.03398513588362891,38571.428571428594,0.03398513588362891,0.0,0.0,0.8680109004871539,1.0000000000000003,1.0000000000000003,0.0,22.34846655592441,8.217652004636598,42.34744311193032,16.657975815992719,0.0,22.34846949205254,896.0890701815271,2570.3572974185456,0.24189,0.0,0.0,3222596.597944462,3222596.597944462,9223406.270706758 
 08/01  13:00:00,37.8,23.9,13.0,9223406.270706758,8801480.729913678,0.8984441379560197,0.0,0.0,0.0,0.0,0.0,812088.6707135683,0.33282009014671296,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.8984441379560197,1.0,1.0,0.0,22.39553159898306,6.782066085304837,42.38903506334341,13.011267115191142,0.0,22.38787195221571,882.8203609842082,2700.1645160472514,0.24189,0.0,0.0,3174829.2448341168,3174829.2448341168,9690712.257770105 
 08/01  14:00:00,38.3,23.9,13.0,9690712.257770105,9222211.063923864,0.9411627859067283,0.0,0.0,0.0,0.0,0.0,850701.3440711969,0.3512529446527582,38571.428571428594,0.033985135883628909,38571.428571428594,0.033985135883628909,0.0,0.0,0.9411627859067283,0.9999999999999999,0.9999999999999999,0.0,22.428793277094305,6.152685220854375,46.37909443354276,13.72554483060378,0.0,22.429294505248025,867.8910881013401,2827.7597958716439,0.24189,0.0,0.0,3121083.862455791,3121083.862455791,10150055.265137919 
 08/01  15:00:00,39.4,23.9,13.0,10150055.265137919,7788849.72538028,0.7819960190314002,0.0,0.0,0.0,0.0,0.849951739381053,706833.1583121742,0.28399774358543658,38571.428571428594,0.033985135883628888,38571.428571428594,0.033985135883628888,33013.33977433064,0.07704227977777104,0.7819960190314002,0.9999999999999998,0.9999999999999998,0.849951739381053,22.863421132697284,6.750364232001961,44.30247003997096,16.117512803420689,0.0,22.8681202684538,870.4095511484983,2807.240946730677,0.24189,0.0,0.0,3130150.3294255619,3130150.3294255619,8605839.080609644 
 08/01  16:00:00,39.4,23.9,13.0,8605839.080609644,9485262.508161489,0.9476835724989582,0.0,0.0,0.0,0.0,0.0,856595.374308556,0.35417834636441489,38571.428571428594,0.033985135883628888,38571.428571428594,0.033985135883628888,0.0,0.0,0.947683572498958,0.9999999999999998,0.9999999999999998,0.0,23.15965336728501,7.173784046693378,42.3642039341573,16.206125421524754,0.0,23.1634757353817,945.2937729711987,2902.466872114695,0.24189,0.0,0.0,3397295.8878673256,3397295.8878673256,10419000.739612904 
 08/01  17:00:00,38.3,23.9,13.0,10419000.739612904,7111850.221777247,0.7128632885065851,0.0,0.0,0.0,0.0,0.0,644345.236289086,0.25669288499729706,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.7128632885065851,1.0,1.0,0.0,24.368287109777705,7.5291177346394539,43.122043223388278,15.730382629897664,0.0,24.39699923753768,1193.7360075117813,2184.2273097803306,0.29498,0.0,0.0,4285039.822795357,4285039.822795357,7833338.315209189 
 08/01  18:00:00,37.2,23.9,13.0,7833338.315209189,7780427.633626542,0.7852357546001656,0.0,0.0,0.0,0.0,0.0,709761.5012556629,0.28529989778015199,38571.4285714286,0.033985135883628888,38571.4285714286,0.033985135883628888,0.0,0.0,0.7852357546001656,0.9999999999999998,0.9999999999999998,0.0,24.400855247079094,8.297080562843984,39.075115143850847,18.430935418485899,0.0,24.399997796215357,1504.2713108477463,2388.114442229184,0.5531,0.0,0.0,5398091.6345649179,5398091.6345649179,8567331.992025063 
 08/01  19:00:00,35.0,23.9,13.0,8567331.992025063,7148782.032267448,0.7425221834339825,0.0,0.0,0.0,0.0,0.0,671153.4167188887,0.2678221484683093,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.7425221834339825,0.9999999999999996,0.9999999999999996,0.0,24.401348005144933,8.071266616199637,36.1829824962964,17.104837070780464,0.0,24.399996200300227,1655.0271979439258,2201.932862813664,0.89693,0.0,0.0,5779156.670941541,5779156.670941541,7897078.306129193 
 08/01  20:00:00,32.2,23.9,13.0,7897078.306129193,5808363.053507117,0.6212403170573471,0.0,0.0,0.0,0.0,0.0,561528.7606200323,0.21958308530325278,38571.4285714286,0.03398513588362889,38571.4285714286,0.03398513588362889,0.0,0.0,0.6212403170573471,0.9999999999999998,0.9999999999999998,0.0,24.401203664721675,9.310963532597939,32.68882478939805,21.892334932352019,0.0,24.399994065320997,1630.020698462338,1799.142964241668,0.89693,0.0,0.0,5686615.049543408,5686615.049543408,6447034.671270005 
